ID	NAME
970108960815	[970108960815] آدم بن سعد بن عيسى الكيلاني الأصل ثم المكي قطنها نحوا من عشرين سنة وزوج بها واسكن بأخرة رباط سكر وكان معتقدا 
429664501810	[429664501810] آدم بن سعيد بن أبي بكر الجبرتي الحنفي نزيل مكة والمتوفى بها شابا قطنها مديما للاشتغال على فضلائها والواردين عليها في الفقه وأصوله والعربية وغيرها وللتلاوة على طريقة جميلة وإناقة من شيوخه السراج معمر بن عبد القوي في العربية وعبد النبي المغربي وسمع على وأنا بمكة الكثير من الصحيح وغيره بل حضر عندي بعض الدروس 
425453420605	[425453420605] آدم بن عبد الرحمن بن حاجي الوركاني مات سنة بضع وعشرين 
771886153816	[771886153816] أبان بن عثمان بن أبي بكر بن عبد الله بن ظهيرة بن أحمد بن عطية بن ظهيرة القرشي المكي ولد في آخر سنة أربعين وثمانمائة وسمع على أبي الفتح المراغي وأجاز له جماعة 
650435887200	[650435887200] أبجد رجل مجذوب كان يكثر التنقل من بيت المقدس إلى مكة صحبة الزين عبد القادر النووي المقدسي وانتفع بلحظه وما علمت متى مات 
710615760998	[710615760998] إبراهيم بن إبراهيم بن محمد بن أحمد البصري نزيل مكة والآتي أبوه وأخواه محمد وإسماعيل ويعرف بابن زقزق ممن قطن مكة ورأيته بها في سنة ثلاث وتسعين وكذا جاور بالمدينة سنين وكان أبوه وأخوه محمد من علماء البصرة وهو من الصلحاء 
909929087083	[909929087083] إبراهيم بن إبراهيم بن محمد بن عبد القادر بن محمد بن عبد القادر المحب أبو الفضل بن البرهان بن البدراني عبد الله الجعفري المقدسي ثم النابلسي الحنبلي الآتي أبوه وجده وعمه الكمال محمد من بيت قضاء واعتبار عرض على الخرقى وقرأ على بعض البخارى سوى ما سمعه على منه ومن غيره كل ذلك في سنة ثمان وثمانين وعاد إلى بيت المقدس 
699442135150	[699442135150] إبراهيم بن إبراهيم بن محمد بن عبد الله بن محمد بن مسعود القاهري المولد والدار الآتي أبوه 
798712922229	[798712922229] إبراهيم بن إبراهيم بن محمد برهان الدين النووي الدمشقي الشافعي ويقال إنه قريب النووي أخذ عن التقى بن قاضي شهبة وتكسب بالشهادة وتميز في الفرائض والحساب ومتعلقاتهما وأقرأ ذلك الطلبة وانتفع به جماعة كأبي الفضل بن الإمام وأخبرني أنه شرح المنهاج ونظم فرائضه ثم ضم إليه الحساب ومتعلقاته في ألفية سماها الحلاوة السكرية زاد غيره أنه شرح الجرومية وكان سريع الن...
687664529530	[687664529530] إبراهيم بن أحمد بن إبراهيم بن عبد الرحمن بن أبي بكر القاضي برهان الدين الأبودري ثم القاهري الأزهري المالكي سبط الزين عبيد البشكالسي وولد محمد الآتي ويعرف بالأبودري ولد فيما ظنه مما ذكره له والده في ثاني عشر ربيع الأول سنة ست وثمانمائة وحفظ القرآن والعمدة ومختصر ابن الحاجب الفرعي والرسالة وألفية ابن مالك وغيرها وعرض على العز بن جماعة والولي العراقي ...
531367985275	[531367985275] إبراهيم بن أحمد بن إبراهيم برهان الدين الشيرازي الموقت لقيه الحافظ الجمال ابن موسى المراكشي باسكندرية وترجمه بالاستاذ الفاضل الموقت وقال له مؤلفات في علم الميقات ويد طولى في متعلقاته من النجوم وغيرها واستجازه لجماعة منهم ابن فهد وذكره في معجمه بذلك 
496907583619	[496907583619] إبراهيم بن أحمد بن إبراهيم الرومي الأصل العجمي الحنفي نزيل القاهرة وأخو حيدر الآتي له ذكر فيه 
653304791180	[653304791180] إبراهيم بن أحمد بن أحمد الميلق بن محمد بن عبد الواحد القاضي برهان الدين ابن الخطيب البدر اللخمي الحسيني نسبة لجدله القاهري الشافعي الشاذلي ويعرف بابن الميلق 
830388306063	[830388306063] إبراهيم بن أحمد بن أحمد بن محمود بن موسى المقدسي الأصل الدمشقي الحنفي ثم الشافعي أخو الزين عبد الرحمن الهمامي وعبد الرزاق ومحمد الآتي ذكرهم وكذا أبوهم 
447381242002	[447381242002] إبراهيم بن أحمد بن إسماعيل بن محمد بن إسماعيل الفقيه برهان الدين بن قطب الدين القلقشندي الأصل المصري الشافعي الأطروش أخو شيخنا العلاء على الآتي وأخوته وسمع في سنة تسع وتسعين بعض الصحيح على ابن أبي المجدو غير ذلك بمشاركة التنوخي والحافظين العراقي والهيثمي الختم منه وكذا سمع علي ابن الجزري وغيره وأجاز له جماعة ممن تأخر واشتغل يسيرا وكتب المنسوب وينزل...
971535024278	[971535024278] إبراهيم بن أحمد بن أبي بكر بن خليفة البجائي قاضيها في زمنه 
563177586858	[563177586858] إبراهيم بن أحمد بن ثابت النابلسي شخص من بني عبد القادر شيوخ نابلس نشأ بها فتعلم الكتابة وقرأ شيئا من القرآن وانتمى لقاضيها الشافعي أبي الفتح محمد بن الجوبري وخدمه بحيث صار يستعمله في الشهادات مع تكسبه في غضون هذا حريرا فترفع حاله يسيرا ثم سافر إلى دمشق وتردد للبلاطنسي وحضر عنده واجتهد في خدمته فراج هناك وحصل بجاهه وظائف في الجامع وانضم بعد موته للز...
438841639088	[438841639088] إبراهيم بن أحمد بن حسن بن أحمد بن محمد بن أحمد برهان الدين العجلوني ثم المقدسي الشافعي نزيل القاهرة كان أبوه برادعيا فنشأ هو تاجرا في البر ببعض حوانيت القدس وقد مات أخ له اسمه حسن كان عطارا محظوظا في التجارة خيرا راغبا في بر الطلبة فورثه وبواسطته كان البرهان يجتمع بالزين ماهر أحد علماء القدس وصلحائه فرأى منه فطنة وذكاءا فخطبه للاشتغال ورغبه فيه وقر...
463604809909	[463604809909] إبراهيم بن أحمد بن حسن بن الغرس خليل بن محمد بن خليل بن رمضان بن الخضر بن خليل بن أبي الحسن برهان الدين أبو اسحاق بن الشهاب أبي العباس بن البدر أبي محمد التنوخي الطائي العجلوني ثم الدمشقي الشافعي الآتي أبوه ويعرف بابن الغرس 
